Game,TimeMs,Moves,Nodes,Visit,MaxDepth,BTrack,Uber,Fnd=>Tabl,Mega,Split,Abut,Neut,Order,InsertUnder,BurFndRdy,FCSeq,ColClr,MaxLkAhd,GenPurpose,Extender,Stat
1,27.914,152,557,188,152,36,0,8,0,5,1,3,1,0,8,1,0,2,0,32,OK
2,3.5842,104,413,104,104,0,0,0,0,3,11,1,0,0,23,0,0,2,0,1,OK
3,3.2691,109,449,109,109,0,0,1,0,2,6,1,1,0,9,1,0,2,0,0,OK
4,24.8219,201,1567,1032,201,831,0,45,0,1,5,1,0,1,1,0,0,6,0,33,OK
5,1.8993,120,350,120,120,0,0,0,0,4,4,0,2,1,2,1,0,3,0,7,OK
6,8.4754,147,812,489,147,342,0,2,0,3,4,6,0,0,4,0,0,2,0,18,OK
7,3.4416,113,363,113,113,0,0,0,0,4,1,0,2,0,12,1,0,3,0,5,OK
8,2.3877,106,341,106,106,0,0,0,0,5,7,1,2,1,16,7,0,5,0,19,OK
9,5.6552,163,710,385,163,222,0,0,0,3,16,0,1,4,4,10,0,10,0,6,OK
10,42.7732,131,2776,2422,131,2291,0,76,0,7,119,0,2,1,2,77,0,3,0,27,OK
11,9.9852,126,753,454,126,328,0,0,0,6,27,0,0,1,13,9,0,10,0,14,OK
12,3.6231,126,460,126,126,0,0,0,0,5,14,2,1,1,28,5,0,2,0,26,OK
13,2.4389,98,333,98,98,0,0,0,0,3,0,1,1,1,7,0,0,2,0,31,OK
14,2.8258,106,399,106,106,0,0,0,0,0,5,0,2,1,6,2,0,3,0,9,OK
15,3.2409,113,317,116,113,3,0,0,0,6,1,5,1,0,7,7,0,2,0,5,OK
16,6.0928,107,710,369,107,262,0,3,0,1,20,0,1,0,9,2,0,4,0,94,OK
17,3.9188,103,542,103,103,0,0,0,0,6,1,0,3,2,20,18,0,6,0,82,OK
18,4.027,116,414,116,116,0,0,0,0,5,5,2,2,0,13,0,0,2,0,13,OK
19,3.0436,124,407,135,124,11,0,1,0,7,6,2,3,0,0,6,0,4,0,16,OK
20,2.4817,109,339,109,109,0,0,0,0,3,1,2,2,1,4,3,0,4,0,5,OK
21,24.1659,115,1869,1612,115,1497,0,71,0,1,1,4,0,0,9,1,0,2,0,9,OK
22,4.0175,119,520,263,119,144,0,0,0,3,3,4,1,0,7,1,0,2,0,1,OK
23,8.8854,110,961,719,110,609,0,0,0,20,23,8,1,0,3,1,0,2,0,16,OK
24,4.1563,125,547,263,125,138,0,2,0,7,8,1,1,0,3,2,0,2,0,12,OK
25,2.6978,113,378,113,113,0,0,0,0,8,10,0,1,0,11,2,0,4,0,56,OK
26,3.0209,109,448,109,109,0,0,0,0,2,1,4,3,2,11,1,0,4,0,2,OK
27,3.9494,136,499,136,136,0,0,0,0,4,10,1,4,4,2,5,0,6,0,32,OK
28,2.6981,100,333,100,100,0,0,0,0,3,2,2,1,0,4,0,0,2,0,37,OK
29,6.3631,132,454,136,132,4,0,2,0,3,9,3,1,0,5,3,0,3,0,32,OK
30,3.0839,105,368,105,105,0,0,0,0,3,4,2,3,0,5,13,0,3,0,47,OK
31,2.7214,102,333,102,102,0,0,0,0,2,3,1,1,0,6,1,0,2,0,0,OK
32,4.5802,116,369,119,116,3,0,1,0,6,9,1,1,0,1,1,0,2,0,16,OK
33,2.9646,106,313,106,106,0,0,0,0,1,3,1,4,0,17,1,0,2,0,8,OK
34,2.8187,107,347,107,107,0,0,0,0,2,5,1,0,2,4,0,0,4,0,0,OK
35,2.9953,113,366,136,113,23,0,0,0,11,9,4,2,0,7,0,0,3,0,6,OK
36,15.2123,219,1230,644,219,425,0,12,0,4,16,6,0,0,12,20,0,2,0,1,OK
37,2.2595,116,362,116,116,0,0,0,0,4,0,3,4,0,2,1,0,7,0,6,OK
38,2.7642,112,423,112,112,0,0,1,0,5,4,1,2,0,5,3,0,2,0,16,OK
39,49.163,120,2529,2167,120,2047,0,19,0,3,7,2,4,0,4,27,0,5,0,30,OK
40,11.3668,111,759,555,111,444,0,0,0,3,3,2,1,2,6,21,0,5,0,13,OK
41,4.736,112,567,112,112,0,0,0,0,5,0,3,0,0,10,28,0,2,0,173,OK
42,2.911,125,443,125,125,0,0,0,0,12,3,2,2,0,0,1,0,8,0,1,OK
43,5.261,135,534,232,135,97,0,0,0,5,9,3,1,0,8,13,0,5,0,1,OK
44,2.5795,110,386,110,110,0,0,0,0,3,8,2,1,1,8,5,0,2,0,39,OK
45,4.2561,128,433,135,128,7,0,0,0,4,4,0,2,4,13,8,0,8,0,2,OK
46,4.0031,124,505,136,124,12,0,4,0,3,11,2,0,0,0,0,0,2,0,6,OK
47,5.3771,119,513,150,119,31,0,2,0,1,5,2,2,1,7,0,0,4,0,69,OK
48,3.0358,131,428,134,131,3,0,0,0,7,4,2,3,0,7,2,0,2,0,2,OK
49,3.556,117,439,171,117,54,0,0,0,7,6,0,0,0,4,2,0,2,0,24,OK
50,4.6768,128,459,128,128,0,0,2,0,6,12,2,0,0,4,0,0,2,0,9,OK
51,4.1096,108,481,146,108,38,0,0,0,1,5,2,1,0,8,0,0,3,0,0,OK
52,2.9689,105,350,119,105,14,0,0,0,3,3,2,0,0,7,0,0,2,0,3,OK
53,2.95,105,391,112,105,7,0,0,0,9,2,1,1,1,2,6,0,4,0,3,OK
54,13.7945,134,1020,713,134,579,0,12,0,6,22,4,2,0,10,9,0,2,0,1,OK
55,4.1392,103,474,136,103,33,0,0,0,0,1,1,1,1,8,0,0,4,0,56,OK
56,4.9464,115,461,115,115,0,0,0,0,6,1,0,1,0,6,3,0,2,0,26,OK
57,3.2979,116,421,116,116,0,0,1,0,0,11,2,1,2,9,2,0,4,0,22,OK
58,3.1435,85,337,85,85,0,0,0,0,0,0,0,1,0,23,6,0,2,0,79,OK
59,3.3582,107,413,107,107,0,0,0,0,5,0,0,3,0,9,2,0,4,0,43,OK
60,4.1502,117,455,168,117,51,0,6,0,5,11,3,2,0,2,0,0,2,0,3,OK
61,3.0798,128,437,128,128,0,0,1,0,3,10,0,1,1,7,2,0,4,0,3,OK
62,2.9753,117,419,119,117,2,0,1,0,6,6,1,3,0,6,5,0,2,0,23,OK
63,82.408,117,4614,4274,126,4157,0,1,0,12,199,4,5,1,2,204,0,8,0,359,OK
64,3.9276,116,529,127,116,11,0,2,0,1,4,1,2,1,7,1,0,8,0,22,OK
65,3.1469,121,410,131,121,10,0,3,0,2,1,3,1,0,1,0,0,2,0,29,OK
66,2.4847,114,334,114,114,0,0,0,0,3,0,1,2,0,8,0,0,2,0,8,OK
67,3.437,121,385,121,121,0,0,0,0,1,1,1,3,2,4,2,0,4,0,14,OK
68,1.8761,109,283,109,109,0,0,1,0,5,7,0,3,0,7,1,0,5,0,3,OK
69,2.4975,116,343,116,116,0,0,0,0,2,1,3,1,0,9,0,0,2,0,5,OK
70,2.5867,116,396,118,116,2,0,0,0,3,5,0,1,0,8,0,0,3,0,9,OK
71,3.6917,91,407,91,91,0,0,0,0,0,1,0,1,0,12,1,0,1,0,4,OK
72,2.3569,117,302,119,117,2,0,0,0,3,3,1,2,2,2,2,0,2,0,6,OK
73,4.7263,142,610,142,142,0,0,1,0,5,8,3,0,1,4,2,0,6,0,69,OK
74,4.5079,134,586,147,134,13,0,1,0,5,21,0,1,8,20,4,0,6,0,3,OK
75,2.8271,100,400,100,100,0,0,0,0,3,2,1,1,0,12,4,0,2,0,15,OK
76,368.6998,196,22005,21491,328,21295,0,90,0,43,2349,18,87,4,4,847,0,4,0,147,OK
77,2.3007,111,347,111,111,0,0,0,0,3,4,2,3,2,15,2,0,8,0,4,OK
78,15.5416,107,960,746,107,639,0,3,0,2,30,0,2,0,7,0,0,6,0,10,OK
79,2.313,114,379,114,114,0,0,0,0,9,2,0,0,2,4,0,0,4,0,10,OK
80,27.8951,109,1990,1752,109,1643,0,6,0,4,35,5,2,0,20,73,0,3,0,221,OK
81,2.0799,121,341,121,121,0,0,0,0,1,11,3,2,0,9,2,0,3,0,2,OK
82,61.9991,130,3770,3433,130,3303,0,5,0,1,17,9,0,0,8,36,0,2,0,473,OK
83,2.0362,119,326,119,119,0,0,0,0,3,4,1,3,0,6,5,0,6,0,15,OK
84,3.1193,133,477,138,133,5,0,1,0,4,3,3,0,4,3,0,0,4,0,3,OK
85,4.5853,108,513,108,108,0,0,0,0,1,1,0,2,0,21,20,0,3,0,13,OK
86,4.0493,122,523,273,122,151,0,0,0,1,3,1,1,0,13,2,0,4,0,37,OK
87,2.2283,115,371,115,115,0,0,0,0,2,3,1,2,1,2,5,0,2,0,44,OK
88,2.0946,108,344,108,108,0,0,0,0,0,6,0,1,0,8,0,0,2,0,2,OK
89,2.1428,107,353,159,107,52,0,0,0,3,1,1,1,0,2,1,0,7,0,5,OK
90,4.0036,126,492,181,126,55,0,2,0,7,11,0,0,1,8,9,0,8,0,8,OK
91,2.6092,107,443,107,107,0,0,0,0,7,9,3,1,1,14,23,0,4,0,6,OK
92,58.3952,187,3784,3269,204,3082,0,2,3,5,152,8,0,0,1,374,0,4,0,20,OK
93,2.9262,109,425,111,109,2,0,0,0,2,5,0,1,0,21,0,0,2,0,24,OK
94,1.9472,121,379,121,121,0,0,0,0,7,4,0,0,1,2,0,0,2,0,3,OK
95,5.1312,118,564,346,118,228,0,1,0,7,19,2,1,1,9,3,0,8,0,5,OK
96,4.3179,155,637,161,155,6,0,1,0,2,7,1,0,3,8,0,0,4,0,41,OK
97,4.3131,155,578,179,155,24,0,4,0,4,7,4,2,0,11,0,0,3,0,21,OK
98,1.9487,120,349,120,120,0,0,0,0,6,4,2,2,0,5,0,0,3,0,1,OK
99,3.0801,113,389,115,113,2,0,0,0,5,3,1,3,0,10,0,0,2,0,15,OK
100,3.6337,117,491,232,117,115,0,0,0,7,0,2,0,0,4,1,0,2,0,68,OK
101,3.2136,146,462,146,146,0,0,0,0,4,5,6,1,3,6,1,0,4,0,12,OK
102,3.9713,113,458,113,113,0,0,0,0,0,2,0,2,5,15,4,0,10,0,87,OK
103,2.7861,123,381,123,123,0,0,0,0,3,12,3,3,4,4,2,0,6,0,2,OK
104,2.3055,90,428,90,90,0,0,0,0,1,0,0,2,0,8,10,0,2,0,0,OK
105,2.7024,127,380,127,127,0,0,0,0,6,7,1,1,0,2,1,0,4,0,4,OK
106,8.2562,117,836,634,117,517,0,0,0,3,4,2,1,0,3,3,0,2,0,3,OK
107,26.8285,119,1973,1715,119,1596,0,28,0,3,4,6,2,0,10,9,0,3,0,0,OK
108,5.4066,159,647,214,159,55,0,7,0,2,16,1,0,0,12,4,0,2,0,0,OK
109,1.76,109,289,109,109,0,0,0,0,1,1,3,1,2,8,0,0,2,0,0,OK
110,8.2002,129,853,640,129,511,0,1,0,6,4,6,0,0,1,0,0,2,0,12,OK
111,7.1615,125,774,479,125,354,0,4,0,7,12,8,2,1,11,6,0,5,0,22,OK
112,7.6774,115,827,565,115,450,0,0,0,2,20,0,4,0,7,2,0,4,0,12,OK
113,2.878,108,388,108,108,0,0,0,0,2,2,0,1,0,19,0,0,3,0,69,OK
